"Test","Status","Expected","Actual","Description"
"Login valide","SUCCESS","200","200","Connexion admin r??ussie"
"Login invalide","ERROR","401","401","Mot de passe incorrect - Error: The remote server returned an error: (401) Unauthorized."
"Acc??s sans token","ERROR","401","401","Endpoint prot??g?? sans authentification - Error: The remote server returned an error: (401) Unauthorized."
"Acc??s avec token valide","SUCCESS","200","200","Endpoint prot??g?? avec authentification"
"GET agences","SUCCESS","200","200",""
"POST agence","SUCCESS","201","201",""
"GET lignes","SUCCESS","200","200",""
"POST ligne","SUCCESS","201","201",""
"GET bus","SUCCESS","200","200",""
"POST bus","ERROR","201","400"," - Error: The remote server returned an error: (400) Bad Request."
"GET personnel","SUCCESS","200","200",""
"POST personnel","ERROR","201","400"," - Error: The remote server returned an error: (400) Bad Request."
"GET voyages","SUCCESS","200","200",""
"GET billets","SUCCESS","200","200",""
"GET colis","SUCCESS","200","200",""
"GET courriers","SUCCESS","200","200",""
"GET bulletins","SUCCESS","200","200",""
"GET ??critures","SUCCESS","200","200",""
"GET bilan","SUCCESS","200","200",""
"GET param??tres","SUCCESS","200","200",""
"GET dashboard","SUCCESS","200","200",""
"GET stats","SUCCESS","200","200",""
"GET bus ID inexistant","ERROR","404","404"," - Error: The remote server returned an error: (404) Not Found."
"POST bus payload invalide","ERROR","400","400"," - Error: The remote server returned an error: (400) Bad Request."
